url,host,wild_mode,title,author,description,image,ingredients,instructions,instructions_list,cook_time,prep_time,total_time,servings,nutrients,ratings,category,cuisine,language,site_name
https://smittenkitchen.com/2017/02/tomato-glazed-meatloaves-with-brown-butter-mashed-potatoes/,smittenkitchen.com,True,tomato-glazed meatloaves with brown butter mashed potatoes – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2020/03/ultimate-banana-bread/,smittenkitchen.com,True,ultimate banana bread – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2018/02/slow-roasted-sweet-potatoes/,smittenkitchen.com,True,slow-roasted sweet potatoes – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2023/03/easy-freezer-waffles/,smittenkitchen.com,True,easy freezer waffles – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2013/02/italian-stuffed-cabbage/,smittenkitchen.com,True,italian stuffed cabbage – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2010/01/best-cocoa-brownies/,smittenkitchen.com,True,best cocoa brownies – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/./recipes/weeknight-favorite/,smittenkitchen.com,True,Weeknight Favorite – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2013/10/miso-sweet-potato-and-broccoli-bowl/,smittenkitchen.com,True,miso sweet potato and broccoli bowl – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2020/02/perfect-vegetable-lasagna/,smittenkitchen.com,True,perfect vegetable lasagna – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2015/02/oven-braised-beef-with-tomatoes-and-garlic/,smittenkitchen.com,True,oven-braised beef with tomatoes and garlic – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2011/02/blood-orange-olive-oil-cake/,smittenkitchen.com,True,blood orange olive oil cake – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2018/02/korean-braised-short-ribs/,smittenkitchen.com,True,korean braised short ribs – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2019/02/bodega-style-egg-and-cheese-sandwich/,smittenkitchen.com,True,bodega-style egg and cheese sandwich – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2024/03/turkey-meatloaf-for-skeptics/#masthead,smittenkitchen.com,True,turkey meatloaf for skeptics – smitten kitchen,,,,,,,,,,,,,,,,
https://smittenkitchen.com/2019/02/chocolate-puddle-cakes/,smittenkitchen.com,True,chocolate puddle cakes – smitten kitchen,,,,,,,,,,,,,,,,
